oid,filter,mjd,mag,magerr,clrcoeff
771215300014928,zr,58461.2501,14.60725,0.010246447,0.07561047
771215300014928,zr,58461.25105,14.6065035,0.0102460375,0.075707786
771215300014928,zr,58461.252,14.598005,0.0102414,0.07885587
771215300014928,zr,58461.25295,14.606642,0.010246114,0.075899705
771215300014928,zr,58461.2539,14.5959215,0.010240269,0.075554386
771215300014928,zr,58461.25485,14.605267,0.0102453595,0.08035347
771215300014928,zr,58461.2558,14.597758,0.0102412645,0.07877624
771215300014928,zr,58461.25675,14.5989895,0.010241935,0.07750338
771215300014928,zr,58462.15851,14.603337,0.010244304,0.073452026
771215300014928,zr,58462.15946,14.603081,0.010244164,0.07797237
771215300014928,zr,58462.16041,14.606476,0.010246023,0.07503077
771215300014928,zr,58462.16136,14.613808,0.01025006,0.074518554
771215300014928,zr,58462.16231,14.598106,0.010241454,0.074170135
771215300014928,zr,58462.16326,14.591634,0.010237951,0.08009686
771215300014928,zr,58462.16421,14.591207,0.010237719,0.077195965
771215300014928,zr,58462.16516,14.605128,0.010245284,0.07711622
771215300014928,zr,58462.1661,14.608137,0.010246934,0.075327024
771215300014928,zr,58462.16705,14.5993805,0.010242146,0.074566
771215300014928,zr,58462.168,14.605649,0.01024557,0.075171314
771215300014928,zr,58462.16895,14.590144,0.010237147,0.07798708
771215300014928,zr,58462.1699,14.594006,0.010239231,0.07608212
771215300014928,zr,58462.17085,14.60464,0.010245017,0.07341425
771215300014928,zr,58462.1718,14.60976,0.010247827,0.075265214
771215300014928,zr,58462.17275,14.594932,0.010239732,0.075932845
771215300014928,zr,58462.1737,14.604708,0.010245054,0.0760002
771215300014928,zr,58462.17465,14.601599,0.010243355,0.07561955
771215300014928,zr,58462.17559,14.610365,0.01024816,0.07692996
771215300014928,zr,58462.17654,14.6048975,0.010245157,0.0786269
771215300014928,zr,58462.17749,14.605443,0.010245456,0.07730224
771215300014928,zr,58462.17844,14.613295,0.010249776,0.073099926
771215300014928,zr,58462.17939,14.602256,0.010243713,0.07683105
771215300014928,zr,58462.18035,14.596085,0.010240356,0.07675619
771215300014928,zr,58462.1813,14.59848,0.010241657,0.07480551
771215300014928,zr,58462.18225,14.6135235,0.010249902,0.07433112
771215300014928,zr,58462.1832,14.6062155,0.01024588,0.07472342
771215300014928,zr,58462.18415,14.603677,0.01024449,0.07411544
771215300014928,zr,58462.1851,14.615641,0.010251073,0.07475409
771215300014928,zr,58462.18605,14.604681,0.01024504,0.07713291
771215300014928,zr,58462.18699,14.595691,0.010240143,0.07577421
771215300014928,zr,58462.18794,14.601898,0.010243519,0.07686987
771215300014928,zr,58462.18889,14.608165,0.01024695,0.076213285
771215300014928,zr,58462.18984,14.607716,0.010246703,0.074942805
771215300014928,zr,58462.19079,14.612882,0.010249549,0.074271865
771215300014928,zr,58462.19174,14.605903,0.010245708,0.07198538
771215300014928,zr,58462.19269,14.60058,0.010242801,0.077895306
771215300014928,zr,58462.19364,14.624287,0.010255886,0.07115276
771215300014928,zr,58462.19459,14.599483,0.010242202,0.07840122
771215300014928,zr,58462.19554,14.618036,0.010252404,0.07193055
771215300014928,zr,58462.19648,14.603193,0.010244226,0.07522246
771215300014928,zr,58462.19743,14.613929,0.010250126,0.07451078
771215300014928,zr,58462.19888,14.608928,0.010247368,0.07608674
771215300014928,zr,58462.19983,14.596966,0.010240835,0.071799584
771215300014928,zr,58462.20079,14.598209,0.01024151,0.07235186
771215300014928,zr,58469.09922,14.585381,0.01023459,0.08072717
771115300032928,zg,58469.15637,15.0237055,0.010119251,-0.059125844
771115300032928,zg,58472.15637,15.017195,0.01011332,-0.025516013
771215300014928,zr,58475.13304,14.608844,0.010247323,0.07774087
771215300014928,zr,58482.18812,14.609357,0.010247605,0.0801174
771115300032928,zg,58487.13959,15.013171,0.010109673,-0.04514866
771115300032928,zg,58491.1414,15.014226,0.010110628,-0.03026588
